url,backlinks,refpages,pages,valid_pages,text,image,nofollow,ugc,sponsored,dofollow,redirect,canonical,gov,edu,rss,alternate,html_pages,links_internal,links_external,refdomains,refclass_c,refips,linked_root_domains
www.raulgordonblasini.info,57427,40019,13304,13304,56747,43511,11,1,0,56736,410,1,0,0,10,259,13141,2090282,676831,30,37,59,329
www.reddcopernicus.info,3302,3296,37,37,3299,6,6,0,0,3293,3,0,0,4,0,0,34,491,258,23,23,23,21
biiwindassure.com,5,4,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
blackbusinessguide.com,101,93,320,320,101,49,18,0,0,83,0,0,0,0,0,0,314,5091,2148,73,54,64,147
www.bijoux-arcenciel.com,27,14,831,830,27,0,7,0,0,20,0,0,0,0,0,0,802,13446,800,6,6,6,3
www.bijoux-promotion.com,1686,1445,5917,5917,1673,1284,365,2,0,1306,13,0,0,28,0,0,4082,275867,4209,356,286,319,4
blackfamilyapparel.com,397,223,36,36,397,1,7,0,0,390,0,0,0,0,0,0,28,404,162,21,27,28,6
www.blackoakslodge.com,2143,1522,2165,2165,1662,60,62,0,0,1600,377,0,5,17,1,0,2139,60973,46531,985,763,837,409
bikroy.com,3013744,2955884,9701445,9690169,3012007,22507,15573,100,13,2996403,1680,1,26490,63,0,0,4621005,97538698,20199512,3212,1480,2114,1266
bilalsadique.com,400,207,1100,1100,400,65,79,2,0,321,0,0,0,0,0,0,1054,9714,2131,25,25,27,20
fai.org.ru,23400,11053,1121707,1121707,23393,123,6973,4717,0,16420,0,0,0,7,0,0,592853,12640494,1953395,443,342,398,8209
orlovline.ru,37,32,37,37,36,7,4,0,0,32,1,0,0,0,0,0,1,82,1,15,19,21,1
nedvizhimost-tomsk.ru,68432,34386,19,19,68416,5,1008,0,0,67408,16,0,0,0,0,0,14,183,121,20,11,11,10
photo.orthodoxy.ru,556,543,46047,46046,555,74,120,9,0,435,0,0,0,0,1,0,45880,373730,3577,105,104,115,269
ortodoksiya.ru,455,418,0,0,449,3,72,15,0,377,6,0,0,0,0,0,0,0,0,69,78,86,0
osamara.ru,1901,1393,2782,2782,1900,80,834,2,0,1066,1,0,0,0,0,0,2644,114637,54577,66,64,67,366
www.neo-park.ru,524,249,36,36,524,59,130,2,0,394,0,0,0,0,0,0,8,348,54,51,46,52,5
laf20.com,279,198,1936,1936,272,132,96,5,0,176,0,0,0,1,0,0,1931,420807,25810,42,36,40,42
www.lafayette-online.com,14273,12879,38231,38221,14258,420,867,8,0,13391,10,0,7,176,2,0,38190,541965,43648,720,514,598,376
